,"2^-0","2^-1","2^-2","2^-3","2^-4","2^-5","2^-6","2^-7","2^-8"
"2^0",0.771311,0.800808,0.840297,0.914634,0.973648,1.341403,2.898859,0.940506,0.000000
"2^1",0.921316,0.953939,0.986829,1.072291,1.284766,1.594132,1.493578,2.742397,0.000000
"2^2",1.034617,1.035058,1.092173,1.167752,1.052086,1.737309,2.070354,3.166781,0.000000
"2^3",2.121417,1.073154,1.116721,1.193766,1.327813,1.765225,1.921141,3.256501,0.000000
"2^4",0.492562,1.043973,1.078015,1.152391,1.366192,1.698945,2.146876,3.216357,0.000000
"2^5",1.031559,1.077943,1.090390,1.162099,1.119491,1.676814,1.670495,3.187462,0.000000
"2^6",1.016792,1.039602,1.077417,1.145176,1.259115,1.694854,1.396276,4.930681,0.000000
"2^7",1.012049,1.004923,1.069695,1.146343,1.302857,1.709772,3.853925,3.158478,0.000000
"2^8",1.011762,1.038988,1.072195,1.150392,1.405408,1.709651,1.266931,-0.258110,0.000000
"2^9",1.091234,1.103934,1.140755,1.217049,1.315797,1.796450,2.232064,4.012528,0.000000
"2^10",1.475608,1.161295,1.219406,1.293643,2.531538,1.907286,3.657605,3.370752,0.000000
"2^11",1.483362,1.467222,1.531902,1.599985,1.671137,2.286101,2.644877,3.554565,0.000000
"2^12",1.739080,1.707028,1.822583,1.945958,2.053357,2.751503,2.977785,4.198806,0.000000
"2^13",1.762167,1.695681,1.850517,1.929255,2.126459,2.917822,3.177340,4.412873,0.000000
"2^14",1.808465,1.864168,1.865264,2.054871,2.180719,3.087822,3.288989,4.589972,0.000000
"2^15",1.935660,1.993777,2.089468,2.292281,2.722863,4.352497,4.182620,5.160989,0.000000
"2^16",4.298869,4.554877,4.621153,4.805289,4.900600,5.447221,6.920776,6.593169,0.000000
"2^17",7.341723,6.540859,7.428367,9.275017,4.229391,9.050749,7.450754,7.164327,0.000000
"2^18",6.956333,6.432966,6.901698,6.940414,4.556900,6.047787,2.286810,-0.679989,0.000000
"2^19",6.425409,5.907271,6.236270,6.502274,6.020290,4.897018,6.307528,14.145190,0.000000
"2^20",6.147473,5.531919,6.006369,8.641085,6.115261,3.643785,5.879038,3.928021,0.000000
"2^21",5.845279,5.723549,6.697601,5.827157,5.829634,6.577856,7.506017,5.812586,0.000000
"2^22",5.512503,5.354970,5.426513,5.485410,5.489667,6.833816,5.490419,5.457574,0.000000
"2^23",2.284826,4.658080,4.906282,4.943950,4.914906,1.716178,4.960421,4.891546,0.000000
"2^24",1.069827,4.000272,3.572981,4.166619,4.165114,3.192024,4.761749,4.173700,0.000000
"2^25",0.536577,1.425148,2.867747,3.001009,3.012347,2.442392,3.014088,3.027041,0.000000
"2^26",0.780286,3.965517,2.000000,0.997796,1.002287,1.195023,0.997540,1.008920,0.000000
